repo_full_name,alert_number,state,created_at,updated_at,dismissed_at,dismissed_reason,dependency_name,dependency_scope,vulnerability_severity,vulnerability_advisory_ghsa_id,vulnerability_advisory_summary,vulnerability_advisory_description,vulnerability_cve_id,first_patched_version,vulnerable_versions
suheip2002/manage-landing-page,19,open,2025-09-10 21:15:37+00:00,2025-09-10 21:15:37+00:00,,,vite,development,low,,,,,,<= 5.4.19
suheip2002/manage-landing-page,18,open,2025-09-10 21:15:36+00:00,2025-09-10 21:15:36+00:00,,,vite,development,low,,,,,,<= 5.4.19
suheip2002/manage-landing-page,17,open,2025-09-10 02:44:53+00:00,2025-09-10 02:44:53+00:00,,,vite,development,low,,,,,,<= 5.4.19
suheip2002/manage-landing-page,16,open,2025-09-10 02:44:50+00:00,2025-09-10 02:44:50+00:00,,,vite,development,low,,,,,,<= 5.4.19
suheip2002/manage-landing-page,15,open,2025-07-31 10:36:20+00:00,2025-07-31 10:36:20+00:00,,,vite,development,medium,,,,,,<= 4.5.13
suheip2002/manage-landing-page,14,open,2025-07-31 10:36:19+00:00,2025-07-31 10:36:19+00:00,,,vite,development,medium,,,,,,< 4.5.13
suheip2002/manage-landing-page,13,open,2025-07-31 10:36:19+00:00,2025-07-31 10:36:19+00:00,,,vite,development,medium,,,,,,< 4.5.12
suheip2002/manage-landing-page,12,open,2025-07-31 10:36:19+00:00,2025-07-31 10:36:19+00:00,,,vite,development,medium,,,,,,< 4.5.11
suheip2002/manage-landing-page,11,open,2025-07-31 10:36:19+00:00,2025-07-31 10:36:19+00:00,,,vite,development,medium,,,,,,< 4.5.10
suheip2002/manage-landing-page,10,open,2025-07-31 10:36:19+00:00,2025-07-31 10:36:19+00:00,,,esbuild,development,medium,,,,,,<= 0.24.2
suheip2002/manage-landing-page,9,open,2025-07-31 10:36:19+00:00,2025-07-31 10:36:19+00:00,,,vite,development,medium,,,,,,<= 4.5.5
